Study_ID,Country,Crop_Type,IoT_Devices,Sensor_Type,Irrigation_Mode,Water_Saved_%,Yield_Change_%,Cost_Reduction_%,ML_Model_Used,Model_Accuracy_%,Evaluation_Period_Days,Data_Quality_Flag,Notes
1801,Brazil,Soybean,Solar-powered sensors,EC (salinity),Micro-irrigation,30,4,8,LightGBM,87,62,High,High sensor drift
1802,USA,Soybean,Cloud-connected sensors,Soil Moisture,Drip,24,6,10,CNN,79,121,Medium,
1803,India,Mango,Soil sensors + Drones,Humidity,Sprinkler,15,0,4,Reinforcement Learning (A2C),79,146,Low,Pilot plot
1804,South Africa,Cotton,Edge device + Vision,Soil Temperature,Drip + Sensor-driven,30,15,11,LightGBM,82,131,High,
1805,India,Millet,Soil sensors,Multispectral Camera,Micro-irrigation,28,21,14,Linear Regression,87,360,High,Dry season
1806,South Africa,Potato,Soil sensors,EC (salinity),Manual,25,5,13,Ensemble,72,139,Low,
1807,India,Millet,Edge device + Vision,Solar Radiation,Flood,22,8,6,Random Forest,79,297,Medium,
1808,India,Mango,Soil sensors + Drones,Humidity,Manual,30,20,8,Random Forest,85,248,High,
1809,India,Grapes,Soil sensors,Soil Moisture,Drip + Sensor-driven,25,15,8,Random Forest,70,340,High,High rainfall during eval period
1810,South Africa,Cotton,Drones (NDVI),Soil Temperature,Drip,31,8,9,Random Forest,95,81,High,High rainfall during eval period
1811,India,Date Palm,Soil sensors + Drones,Air Temp,Sprinkler,23,24,13,CNN,87,352,High,Cloud outage recorded
1812,China,Tomato,Edge device + Vision,Solar Radiation,Flood,18,24,8,Ensemble,74,97,High,Long-term monitoring
1813,Spain,Maize,Soil sensors,Air Temp,Drip,27,9,13,Ensemble,70,179,High,
1814,USA,Soybean,Solar-powered sensors,Air Temp,Micro-irrigation,27,9,13,LightGBM,78,237,High,
1815,Brazil,Potato,Weather station,Soil Moisture,Sprinkler + Auto,33,4,18,LightGBM,95,275,Medium,
1816,Brazil,Wheat,Soil sensors + Weather station,NDVI,Sprinkler + Auto,29,16,14,CNN,84,83,Medium,
1817,Egypt,Cotton,Solar-powered sensors,NDVI,Sprinkler,34,16,10,XGBoost,76,36,Medium,
1818,South Africa,Maize,Drones (NDVI),Soil Moisture,Cloud-auto (scheduled),34,7,17,Random Forest,73,272,Medium,
1819,India,Tomato,Edge device + Vision,Soil Moisture,Manual,25,1,7,RCNN,79,119,Low,High sensor drift
1820,India,Millet,Weather station,Soil Temperature,Manual,23,14,9,Random Forest,83,321,Low,
1821,Ghana,Sugarcane,Cloud-connected sensors,EC (salinity),Drip + Sensor-driven,31,5,7,XGBoost,81,124,High,Smallholder field
1822,India,Maize,Vision camera (edge),Air Temp,Drip,39,18,14,LightGBM,78,284,High,Pilot plot
1823,India,Wheat,Cloud-connected sensors,Humidity,Sprinkler + Auto,27,15,7,Reinforcement Learning (A2C),95,266,High,Solar powered
1824,India,Date Palm,Vision camera (edge),Soil Temperature,Micro-irrigation,32,4,9,LightGBM,77,148,High,Smallholder field
1825,India,Soybean,Drones (NDVI),Soil Moisture,Drip + Sensor-driven,28,5,8,KNN,63,301,High,
1826,China,Potato,Weather station,Humidity,Cloud-auto (scheduled),26,9,12,Reinforcement Learning (A2C),86,352,Medium,
1827,India,Date Palm,Soil sensors + Drones,EC (salinity),Micro-irrigation,31,12,16,Random Forest,79,111,High,
1828,Brazil,Sorghum,Drones (NDVI),Multispectral Camera,Cloud-auto (scheduled),26,3,7,RCNN,79,263,Medium,
1829,India,Rice,Soil sensors,Multispectral Camera,Drip + Sensor-driven,27,-4,16,XGBoost,91,252,High,
1830,Bangladesh,Mango,NodeMCU + LoRa,Soil Temperature,Sprinkler + Auto,32,5,11,XGBoost,89,207,High,Cloud outage recorded
1831,Brazil,Rice,Soil sensors,Humidity,Manual,20,2,8,Random Forest,97,131,High,Cloud outage recorded
1832,USA,Sugarcane,Weather station,Solar Radiation,Drip + Sensor-driven,29,10,14,LightGBM,85,319,Medium,
1833,Egypt,Cotton,Drones (NDVI),Soil Moisture,Manual,24,-3,6,Ensemble,73,121,High,
1834,China,Mango,Drones (NDVI),Humidity,Sprinkler + Auto,22,9,9,LightGBM,77,190,Medium,Edge device tested
1835,Brazil,Sugarcane,Edge device + Vision,Multispectral Camera,Manual,33,10,16,XGBoost,82,252,High,Cloud outage recorded
1836,Brazil,Tomato,Soil sensors + Drones,NDVI,Cloud-auto (scheduled),26,16,13,Ensemble,79,186,Medium,
1837,Australia,Sugarcane,Weather station,Humidity,Cloud-auto (scheduled),20,6,9,XGBoost,89,145,High,
1838,Bangladesh,Rice,Soil sensors + Weather station,Air Temp,Micro-irrigation,34,19,12,Reinforcement Learning (A2C),63,286,High,Dry season
1839,Ghana,Cotton,Cloud-connected sensors,NDVI,Sprinkler,33,7,15,Linear Regression,78,34,Low,Dry season
1840,India,Millet,Soil sensors,Solar Radiation,Drip,26,-1,8,XGBoost,75,295,High,
1841,Egypt,Grapes,Drones (NDVI),Solar Radiation,Micro-irrigation,22,10,13,Random Forest,95,155,High,
1842,USA,Tomato,Drones (NDVI),Soil Temperature,Micro-irrigation,31,5,13,Random Forest,90,57,Medium,
1843,Ghana,Potato,Soil sensors,Soil Temperature,Flood,23,12,5,XGBoost,80,231,Medium,
1844,USA,Cotton,Drones (NDVI),EC (salinity),Drip + Sensor-driven,32,10,15,CNN,81,250,Low,
1845,USA,Cotton,Cloud-connected sensors,NDVI,Manual,28,9,6,Random Forest,88,197,High,
1846,India,Date Palm,Soil sensors + Weather station,Soil Moisture,Flood,21,21,5,Random Forest,95,238,High,Smallholder field
1847,India,Cotton,Weather station,Solar Radiation,Cloud-auto (scheduled),35,17,19,XGBoost,82,365,High,
1848,Egypt,Millet,Soil sensors + Weather station,Multispectral Camera,Drip,27,19,12,Ensemble,73,363,High,Smallholder field
1849,USA,Tomato,Drones (NDVI),Soil Moisture,Micro-irrigation,38,7,13,KNN,67,361,Medium,
1850,Brazil,Wheat,Vision camera (edge),Humidity,Drip,33,1,12,Ensemble,82,59,High,
1851,South Africa,Potato,Cloud-connected sensors,Air Temp,Micro-irrigation,31,13,15,Reinforcement Learning (A2C),86,173,High,
1852,Bangladesh,Potato,Soil sensors + Drones,Air Temp,Flood,17,16,4,CNN,89,108,Medium,
1853,India,Maize,Drones (NDVI),Soil Temperature,Flood,19,9,4,Linear Regression,75,41,High,
1854,China,Wheat,Soil sensors + Drones,Soil Temperature,Sprinkler + Auto,26,4,11,XGBoost,87,35,High,
1855,South Africa,Sugarcane,Soil sensors + Weather station,EC (salinity),Flood,21,13,9,Linear Regression,78,172,Medium,
1856,India,Maize,NodeMCU + LoRa,NDVI,Drip + Sensor-driven,38,17,17,Linear Regression,74,168,Medium,Smallholder field
1857,India,Date Palm,Weather station,Soil Temperature,Drip,31,14,17,Ensemble,87,113,Medium,
1858,India,Potato,Soil sensors,Multispectral Camera,Cloud-auto (scheduled),41,-5,22,CNN,96,82,Medium,
1859,USA,Mango,Drones (NDVI),NDVI,Sprinkler + Auto,18,6,8,Ensemble,82,337,Low,
1860,India,Grapes,Drones (NDVI),Humidity,Drip + Sensor-driven,29,11,13,KNN,63,352,High,
1861,Australia,Maize,Soil sensors,Soil Moisture,Manual,30,1,8,Ensemble,78,174,Medium,Smallholder field
1862,Australia,Mango,Weather station,Humidity,Drip + Sensor-driven,36,19,16,LightGBM,71,125,High,
1863,Spain,Wheat,Soil sensors + Weather station,Soil Moisture,Flood,17,-5,9,LightGBM,77,313,High,Edge device tested
1864,India,Wheat,Vision camera (edge),Soil Moisture,Drip + Sensor-driven,30,12,16,Linear Regression,76,352,Low,
1865,India,Sugarcane,Cloud-connected sensors,NDVI,Manual,19,14,4,XGBoost,78,86,High,
1866,India,Mango,Cloud-connected sensors,NDVI,Flood,12,14,4,XGBoost,89,113,High,Smallholder field
1867,India,Grapes,Soil sensors,EC (salinity),Cloud-auto (scheduled),30,15,9,Reinforcement Learning (A2C),81,128,Low,
1868,Egypt,Cotton,Weather station,NDVI,Cloud-auto (scheduled),11,16,2,LightGBM,96,39,High,Dry season
1869,China,Sugarcane,NodeMCU + LoRa,Soil Moisture,Cloud-auto (scheduled),32,18,14,Ensemble,86,35,Medium,Solar powered
1870,Ghana,Soybean,Drones (NDVI),EC (salinity),Flood,14,13,3,XGBoost,93,161,Medium,Solar powered
1871,Bangladesh,Soybean,Weather station,EC (salinity),Sprinkler + Auto,16,16,7,Random Forest,75,284,High,Smallholder field
1872,Brazil,Sugarcane,Soil sensors,Multispectral Camera,Sprinkler,35,4,16,XGBoost,88,72,High,
1873,Egypt,Sugarcane,Soil sensors + Drones,Air Temp,Micro-irrigation,41,12,22,Linear Regression,71,195,Low,Solar powered
1874,India,Maize,Soil sensors + Weather station,EC (salinity),Sprinkler + Auto,19,12,5,Random Forest,80,108,Medium,
1875,USA,Tomato,Soil sensors + Drones,Air Temp,Drip,20,10,5,Linear Regression,57,162,Medium,
1876,Egypt,Potato,Soil sensors,Humidity,Sprinkler,39,10,15,CNN,75,50,High,
1877,Brazil,Cotton,Soil sensors + Drones,Air Temp,Sprinkler,35,13,14,Linear Regression,58,107,High,Pilot plot
1878,Bangladesh,Tomato,Soil sensors + Weather station,Soil Temperature,Manual,18,13,6,LightGBM,80,308,High,
1879,Bangladesh,Rice,Soil sensors,Soil Temperature,Manual,27,10,8,CNN,82,229,High,
1880,India,Soybean,Soil sensors,Multispectral Camera,Micro-irrigation,31,16,10,CNN,70,284,High,
1881,India,Potato,Soil sensors + Weather station,Multispectral Camera,Sprinkler + Auto,30,3,18,LightGBM,83,189,Medium,
1882,Bangladesh,Maize,Weather station,Air Temp,Sprinkler,17,3,8,Ensemble,89,253,Medium,
1883,India,Rice,Drones (NDVI),Soil Temperature,Drip,29,20,7,Reinforcement Learning (A2C),75,302,High,Cloud outage recorded
1884,Ghana,Date Palm,NodeMCU + LoRa,Soil Temperature,Sprinkler,31,13,9,Reinforcement Learning (A2C),75,108,Medium,
1885,USA,Sugarcane,Weather station,Soil Temperature,Micro-irrigation,27,6,10,Random Forest,82,311,High,
1886,Bangladesh,Grapes,Soil sensors,Air Temp,Drip,34,10,14,XGBoost,83,130,Medium,
1887,India,Grapes,Weather station,Soil Temperature,Drip,38,9,16,Linear Regression,71,121,High,Long-term monitoring
1888,China,Rice,NodeMCU + LoRa,Air Temp,Sprinkler + Auto,24,5,7,Reinforcement Learning (A2C),74,319,Medium,
1889,Bangladesh,Date Palm,Soil sensors + Drones,Air Temp,Drip + Sensor-driven,38,-5,11,LightGBM,85,146,High,
1890,Brazil,Date Palm,Soil sensors + Weather station,Multispectral Camera,Flood,19,9,5,CNN,86,72,High,High rainfall during eval period
1891,Brazil,Sorghum,Solar-powered sensors,Multispectral Camera,Micro-irrigation,33,13,11,Linear Regression,51,252,High,Pilot plot
1892,India,Wheat,Weather station,Air Temp,Flood,26,13,13,Ensemble,76,108,High,
1893,China,Cotton,Drones (NDVI),Air Temp,Drip + Sensor-driven,34,7,11,Ensemble,68,62,High,
1894,Australia,Millet,Cloud-connected sensors,Soil Moisture,Sprinkler + Auto,23,16,6,CNN,86,227,High,
1895,Ghana,Millet,Drones (NDVI),Air Temp,Drip,31,12,12,LightGBM,73,297,High,Cloud outage recorded
1896,India,Wheat,Soil sensors + Weather station,Solar Radiation,Drip + Sensor-driven,31,4,15,Linear Regression,81,287,Medium,
1897,USA,Sugarcane,Solar-powered sensors,Humidity,Cloud-auto (scheduled),28,6,16,CNN,83,38,Low,Smallholder field
1898,Egypt,Grapes,Drones (NDVI),Multispectral Camera,Sprinkler + Auto,35,-2,18,Reinforcement Learning (A2C),87,211,High,
1899,India,Cotton,Drones (NDVI),Air Temp,Manual,22,7,6,Reinforcement Learning (A2C),72,252,Medium,
1900,Bangladesh,Tomato,NodeMCU + LoRa,Soil Moisture,Drip + Sensor-driven,28,13,14,XGBoost,82,346,High,
1901,Spain,Wheat,Edge device + Vision,Multispectral Camera,Drip + Sensor-driven,34,-3,11,Linear Regression,89,334,High,Dry season
1902,India,Potato,Soil sensors + Drones,NDVI,Sprinkler + Auto,43,6,26,LightGBM,81,129,Medium,Cloud outage recorded
1903,India,Mango,Weather station,Solar Radiation,Manual,34,13,12,Ensemble,84,304,Medium,
1904,Bangladesh,Sorghum,Soil sensors + Weather station,Soil Moisture,Cloud-auto (scheduled),27,12,12,Linear Regression,73,339,High,Solar powered
1905,Brazil,Potato,Cloud-connected sensors,Soil Temperature,Drip,31,14,13,Random Forest,76,264,High,
1906,China,Rice,Soil sensors,Air Temp,Cloud-auto (scheduled),33,5,14,Random Forest,73,296,High,
1907,China,Date Palm,Soil sensors + Weather station,Humidity,Drip,37,23,13,XGBoost,79,306,High,Dry season
1908,India,Millet,Cloud-connected sensors,EC (salinity),Sprinkler + Auto,38,10,14,Random Forest,74,106,Low,
1909,Bangladesh,Rice,Soil sensors,Humidity,Drip,22,16,9,Ensemble,66,236,High,Edge device tested
1910,India,Cotton,Soil sensors,EC (salinity),Sprinkler + Auto,21,9,8,CNN,84,319,High,
1911,China,Tomato,Vision camera (edge),Soil Moisture,Drip + Sensor-driven,31,10,14,LightGBM,87,364,High,
1912,Bangladesh,Soybean,Edge device + Vision,Soil Moisture,Sprinkler,33,8,15,Random Forest,78,220,Medium,
1913,India,Tomato,Drones (NDVI),NDVI,Micro-irrigation,37,7,11,LightGBM,84,231,High,Solar powered
1914,USA,Grapes,Edge device + Vision,EC (salinity),Micro-irrigation,26,3,14,Linear Regression,65,102,Medium,
1915,India,Potato,Soil sensors + Weather station,Multispectral Camera,Drip + Sensor-driven,28,13,12,LightGBM,78,121,High,Pilot plot
1916,USA,Potato,Weather station,NDVI,Drip + Sensor-driven,31,9,11,Random Forest,84,187,High,
1917,China,Soybean,Edge device + Vision,EC (salinity),Flood,18,15,9,XGBoost,89,79,Medium,High rainfall during eval period
1918,India,Rice,Vision camera (edge),Soil Temperature,Micro-irrigation,33,11,8,Ensemble,87,141,High,Edge device tested
1919,India,Millet,Weather station,Air Temp,Micro-irrigation,40,9,18,LightGBM,87,64,Low,Long-term monitoring
1920,Australia,Soybean,Soil sensors,Solar Radiation,Drip + Sensor-driven,35,9,8,Ensemble,96,304,Medium,Edge device tested
1921,India,Potato,Soil sensors + Drones,EC (salinity),Manual,28,11,16,RCNN,92,186,High,Smallholder field
1922,Egypt,Potato,Soil sensors,Soil Temperature,Manual,26,9,9,Reinforcement Learning (A2C),85,259,High,
1923,India,Soybean,Soil sensors,NDVI,Sprinkler,28,10,12,XGBoost,76,167,High,Long-term monitoring
1924,India,Maize,Weather station,NDVI,Sprinkler,31,7,18,Ensemble,88,90,High,
1925,South Africa,Sugarcane,Vision camera (edge),NDVI,Cloud-auto (scheduled),27,18,11,Reinforcement Learning (A2C),72,48,High,
1926,China,Cotton,Weather station,Humidity,Sprinkler + Auto,38,7,13,Ensemble,96,132,High,Edge device tested
1927,Spain,Grapes,NodeMCU + LoRa,Solar Radiation,Micro-irrigation,31,16,15,CNN,78,210,Medium,
1928,China,Rice,Weather station,Multispectral Camera,Micro-irrigation,31,20,18,Linear Regression,48,122,High,Solar powered
1929,India,Soybean,Weather station,EC (salinity),Flood,19,5,4,Ensemble,75,292,High,
1930,Brazil,Potato,Vision camera (edge),Solar Radiation,Flood,15,13,5,LightGBM,77,284,High,
1931,Ghana,Maize,Soil sensors + Weather station,Multispectral Camera,Sprinkler,35,5,18,Random Forest,78,232,High,Cloud outage recorded
1932,Brazil,Soybean,Edge device + Vision,NDVI,Manual,27,3,11,RCNN,90,329,Medium,Pilot plot
1933,India,Sugarcane,Soil sensors + Weather station,Solar Radiation,Flood,29,3,7,CNN,78,149,Medium,High sensor drift
1934,India,Millet,Soil sensors,Multispectral Camera,Cloud-auto (scheduled),22,2,9,Random Forest,74,180,High,High rainfall during eval period
1935,South Africa,Tomato,Soil sensors + Weather station,Solar Radiation,Manual,37,3,12,RCNN,91,219,Medium,High sensor drift
1936,USA,Sugarcane,Drones (NDVI),Air Temp,Sprinkler,25,9,6,Linear Regression,77,103,High,Dry season
1937,Ghana,Sugarcane,Soil sensors + Drones,Soil Temperature,Micro-irrigation,30,6,16,CNN,85,357,Medium,Pilot plot
1938,China,Potato,Soil sensors + Drones,NDVI,Cloud-auto (scheduled),32,18,17,Ensemble,72,166,Medium,
1939,China,Maize,Soil sensors + Weather station,Multispectral Camera,Sprinkler,25,27,10,Ensemble,87,356,High,
1940,India,Grapes,Solar-powered sensors,Soil Temperature,Sprinkler,32,10,18,Reinforcement Learning (A2C),80,281,Medium,
1941,Australia,Potato,Soil sensors + Weather station,Soil Moisture,Micro-irrigation,33,9,18,XGBoost,70,325,High,
1942,USA,Grapes,NodeMCU + LoRa,Humidity,Flood,30,9,8,XGBoost,88,351,Medium,
1943,China,Sorghum,Soil sensors,Solar Radiation,Drip,26,6,8,KNN,64,129,High,
1944,Ghana,Wheat,Soil sensors,Humidity,Sprinkler,36,3,12,LightGBM,76,302,High,
1945,China,Maize,Soil sensors + Drones,EC (salinity),Manual,29,6,13,Ensemble,90,51,High,High sensor drift
1946,Portugal,Sorghum,Soil sensors,Soil Temperature,Drip,27,13,15,Linear Regression,62,99,High,Long-term monitoring
1947,Bangladesh,Potato,NodeMCU + LoRa,Solar Radiation,Flood,32,4,11,XGBoost,87,255,High,High rainfall during eval period
1948,Ghana,Grapes,Soil sensors + Weather station,Humidity,Manual,32,15,16,Reinforcement Learning (A2C),92,33,Medium,
1949,Spain,Sorghum,Solar-powered sensors,Multispectral Camera,Sprinkler,25,1,11,LightGBM,78,260,Medium,
1950,India,Grapes,Solar-powered sensors,Humidity,Drip + Sensor-driven,41,6,17,XGBoost,85,89,High,
1951,Bangladesh,Soybean,Soil sensors + Weather station,Air Temp,Flood,25,12,12,Random Forest,85,44,Medium,
1952,Bangladesh,Sorghum,Soil sensors + Drones,Multispectral Camera,Drip,35,7,10,Random Forest,80,120,High,
1953,India,Wheat,Edge device + Vision,Multispectral Camera,Sprinkler,30,12,12,Linear Regression,79,266,Low,
1954,Brazil,Potato,Soil sensors + Weather station,NDVI,Sprinkler + Auto,26,16,7,Linear Regression,72,221,Low,
1955,Egypt,Date Palm,Soil sensors,Solar Radiation,Flood,13,19,7,Random Forest,92,244,High,
1956,Brazil,Wheat,Weather station,NDVI,Cloud-auto (scheduled),30,14,11,CNN,78,326,High,
1957,India,Rice,Soil sensors + Weather station,Soil Moisture,Sprinkler + Auto,26,13,5,Random Forest,87,340,Medium,
1958,USA,Maize,Soil sensors + Weather station,NDVI,Drip + Sensor-driven,22,13,12,LightGBM,66,209,High,High sensor drift
1959,China,Mango,Soil sensors,Solar Radiation,Sprinkler,27,11,10,LightGBM,86,40,Medium,
1960,China,Date Palm,Cloud-connected sensors,Soil Temperature,Sprinkler + Auto,28,4,6,Ensemble,92,47,High,Edge device tested
1961,China,Date Palm,NodeMCU + LoRa,Solar Radiation,Flood,22,8,9,XGBoost,86,213,Low,
1962,India,Grapes,Weather station,Solar Radiation,Drip + Sensor-driven,22,4,8,Random Forest,78,149,Medium,Edge device tested
1963,Brazil,Potato,Weather station,Multispectral Camera,Drip,32,0,9,Random Forest,73,98,High,
1964,Australia,Wheat,Soil sensors + Drones,Air Temp,Flood,22,16,5,Reinforcement Learning (A2C),84,364,High,
1965,India,Sorghum,Weather station,Soil Moisture,Drip,27,9,12,CNN,85,332,Medium,
1966,USA,Maize,Weather station,Humidity,Sprinkler,18,14,8,CNN,84,345,High,Smallholder field
1967,India,Tomato,Soil sensors + Weather station,Solar Radiation,Drip,22,18,13,Ensemble,77,273,High,
1968,India,Sugarcane,Drones (NDVI),Air Temp,Micro-irrigation,36,8,19,LightGBM,90,182,Medium,
1969,India,Millet,Soil sensors + Drones,Humidity,Micro-irrigation,29,12,14,Linear Regression,64,348,High,
1970,Bangladesh,Grapes,Soil sensors,Multispectral Camera,Flood,17,15,5,Linear Regression,64,309,High,Smallholder field
1971,India,Maize,Edge device + Vision,Soil Moisture,Manual,24,1,9,Random Forest,75,242,Medium,
1972,India,Grapes,Cloud-connected sensors,Soil Moisture,Drip,37,6,17,XGBoost,69,190,High,
1973,India,Potato,Cloud-connected sensors,Soil Moisture,Drip,29,7,16,Random Forest,77,266,High,
1974,Egypt,Maize,Soil sensors,Soil Temperature,Flood,15,11,5,XGBoost,88,51,Medium,
1975,India,Grapes,Vision camera (edge),Air Temp,Sprinkler,27,19,14,Ensemble,82,191,Medium,Cloud outage recorded
1976,Ghana,Sorghum,Soil sensors,Solar Radiation,Sprinkler,33,6,16,CNN,71,65,High,
1977,India,Cotton,Drones (NDVI),Air Temp,Flood,21,11,12,Random Forest,79,97,High,
1978,USA,Rice,Soil sensors,Air Temp,Flood,25,14,13,Random Forest,71,72,High,
1979,USA,Tomato,Soil sensors + Drones,Solar Radiation,Drip + Sensor-driven,32,14,6,XGBoost,82,41,High,
1980,USA,Potato,Drones (NDVI),Humidity,Micro-irrigation,20,8,5,Linear Regression,69,268,Medium,
1981,China,Soybean,Soil sensors,EC (salinity),Manual,25,22,10,XGBoost,86,225,High,
1982,USA,Wheat,Drones (NDVI),Soil Temperature,Micro-irrigation,31,10,15,CNN,75,237,Low,Edge device tested
1983,South Africa,Grapes,Weather station,Multispectral Camera,Sprinkler + Auto,33,10,12,XGBoost,76,60,Low,
1984,India,Mango,Weather station,Humidity,Drip + Sensor-driven,31,0,8,CNN,89,75,Low,
1985,India,Tomato,Soil sensors + Weather station,Air Temp,Sprinkler,38,23,9,Linear Regression,79,236,High,High rainfall during eval period
1986,Australia,Sorghum,NodeMCU + LoRa,Humidity,Sprinkler + Auto,37,8,18,Ensemble,72,95,Medium,Long-term monitoring
1987,India,Tomato,Soil sensors + Weather station,NDVI,Drip + Sensor-driven,19,13,6,Linear Regression,77,110,High,
1988,China,Potato,Weather station,Air Temp,Micro-irrigation,32,6,12,Linear Regression,74,63,Low,
1989,Ghana,Soybean,NodeMCU + LoRa,Air Temp,Drip,36,7,13,XGBoost,96,136,Medium,
1990,India,Date Palm,Soil sensors + Weather station,Humidity,Cloud-auto (scheduled),23,1,8,LightGBM,85,262,High,
1991,India,Date Palm,Soil sensors + Weather station,Soil Temperature,Sprinkler,25,-4,8,XGBoost,82,31,High,Pilot plot
1992,Bangladesh,Sorghum,Soil sensors + Drones,Air Temp,Flood,19,17,10,CNN,92,263,Medium,
1993,China,Sorghum,Soil sensors + Weather station,Solar Radiation,Drip,31,3,15,CNN,91,202,High,Pilot plot
1994,Australia,Date Palm,Vision camera (edge),NDVI,Sprinkler + Auto,30,10,12,Linear Regression,68,335,Medium,High rainfall during eval period
1995,India,Cotton,Weather station,Soil Temperature,Sprinkler,19,2,9,Random Forest,82,258,High,
1996,Brazil,Potato,Soil sensors,EC (salinity),Cloud-auto (scheduled),34,7,8,Random Forest,90,323,Low,
1997,Spain,Cotton,Soil sensors + Weather station,Soil Moisture,Sprinkler,19,2,9,XGBoost,77,152,High,
1998,Bangladesh,Grapes,Cloud-connected sensors,NDVI,Cloud-auto (scheduled),23,2,6,KNN,73,237,High,
1999,India,Rice,Soil sensors + Weather station,NDVI,Drip,29,2,10,KNN,72,306,Low,Smallholder field
2000,Australia,Soybean,Weather station,Solar Radiation,Cloud-auto (scheduled),37,11,13,Random Forest,78,230,High,
2001,China,Wheat,Vision camera (edge),EC (salinity),Micro-irrigation,27,1,11,Ensemble,74,213,Medium,
2002,India,Cotton,Drones (NDVI),Solar Radiation,Drip,27,18,14,Linear Regression,82,347,High,Smallholder field
2003,China,Potato,Soil sensors,Soil Temperature,Sprinkler + Auto,32,9,9,Reinforcement Learning (A2C),89,353,Low,
2004,India,Soybean,Solar-powered sensors,Multispectral Camera,Sprinkler,33,15,10,Linear Regression,75,338,High,
2005,Bangladesh,Rice,Soil sensors,Air Temp,Flood,23,4,9,XGBoost,86,45,High,Smallholder field
2006,India,Maize,Soil sensors + Weather station,Multispectral Camera,Sprinkler,27,5,13,Random Forest,71,365,Low,High sensor drift
2007,India,Millet,Vision camera (edge),EC (salinity),Flood,17,15,4,Ensemble,84,162,High,Cloud outage recorded
2008,Egypt,Maize,Cloud-connected sensors,Multispectral Camera,Flood,17,7,8,Random Forest,84,42,High,
2009,India,Potato,Vision camera (edge),Humidity,Cloud-auto (scheduled),24,4,14,Random Forest,78,150,High,Pilot plot
2010,China,Grapes,Soil sensors + Weather station,Air Temp,Manual,28,7,6,Ensemble,84,94,Medium,Smallholder field
2011,Bangladesh,Rice,Soil sensors + Weather station,Multispectral Camera,Sprinkler + Auto,10,4,4,LightGBM,79,234,Low,Cloud outage recorded
2012,Spain,Sugarcane,Solar-powered sensors,Multispectral Camera,Drip + Sensor-driven,36,13,15,Ensemble,73,349,High,
2013,India,Maize,Soil sensors + Weather station,Humidity,Manual,30,4,9,XGBoost,78,85,Medium,
2014,USA,Tomato,Cloud-connected sensors,Air Temp,Flood,23,0,10,Random Forest,90,137,High,
2015,Bangladesh,Millet,Soil sensors + Drones,Air Temp,Sprinkler,31,-1,9,XGBoost,85,356,High,
2016,Ghana,Potato,Soil sensors,NDVI,Micro-irrigation,35,3,18,XGBoost,95,171,Medium,Pilot plot
2017,Ghana,Wheat,Soil sensors + Drones,Solar Radiation,Flood,20,2,7,Linear Regression,69,105,High,
2018,Egypt,Cotton,Drones (NDVI),EC (salinity),Cloud-auto (scheduled),32,10,7,LightGBM,68,121,Medium,
2019,India,Sorghum,Drones (NDVI),Soil Moisture,Sprinkler + Auto,29,6,9,LightGBM,82,39,High,
2020,India,Rice,Weather station,Air Temp,Manual,29,17,11,KNN,64,172,High,Long-term monitoring
2021,Brazil,Wheat,Soil sensors + Drones,Soil Moisture,Cloud-auto (scheduled),22,16,13,LightGBM,79,247,High,Dry season
2022,India,Millet,Soil sensors + Drones,Multispectral Camera,Drip,21,2,11,Random Forest,93,61,Low,
2023,USA,Date Palm,Solar-powered sensors,Soil Moisture,Sprinkler,15,14,6,Random Forest,76,36,High,Dry season
2024,Portugal,Cotton,Soil sensors,Solar Radiation,Sprinkler,31,13,9,XGBoost,88,363,High,
2025,Ghana,Soybean,Soil sensors + Drones,Air Temp,Manual,32,3,6,Reinforcement Learning (A2C),74,56,Medium,
2026,USA,Tomato,Solar-powered sensors,Solar Radiation,Manual,16,5,7,LightGBM,84,351,High,
2027,Bangladesh,Cotton,Drones (NDVI),Air Temp,Sprinkler,26,4,10,LightGBM,77,315,High,Dry season
2028,China,Rice,Vision camera (edge),Solar Radiation,Drip,24,9,7,XGBoost,86,242,High,
2029,Egypt,Wheat,Edge device + Vision,Solar Radiation,Micro-irrigation,27,8,13,Random Forest,93,335,Medium,
2030,Spain,Tomato,Vision camera (edge),Soil Temperature,Flood,19,12,11,Ensemble,79,50,High,
2031,Brazil,Rice,Weather station,NDVI,Drip,34,8,9,Ensemble,81,217,Medium,
2032,Spain,Rice,Soil sensors,NDVI,Cloud-auto (scheduled),27,19,14,Ensemble,86,139,Medium,Smallholder field
2033,Spain,Wheat,Drones (NDVI),Soil Moisture,Sprinkler + Auto,37,15,8,Ensemble,72,312,High,
2034,Bangladesh,Mango,Soil sensors,Solar Radiation,Manual,21,14,10,Reinforcement Learning (A2C),73,90,High,High sensor drift
2035,Egypt,Maize,Soil sensors,Soil Moisture,Sprinkler,34,4,13,LightGBM,80,104,High,
2036,Australia,Cotton,Weather station,Soil Moisture,Cloud-auto (scheduled),24,13,7,Random Forest,84,138,Medium,Edge device tested
2037,China,Cotton,Soil sensors + Weather station,NDVI,Cloud-auto (scheduled),20,8,9,Random Forest,84,35,High,
2038,Bangladesh,Sorghum,Edge device + Vision,Soil Moisture,Manual,31,5,10,Linear Regression,70,81,High,
2039,China,Potato,Edge device + Vision,Multispectral Camera,Cloud-auto (scheduled),21,8,9,Ensemble,92,148,Medium,High sensor drift
